名称,描述,评分,热度,距离
北京烤鸭,烤鸭是在世界上都享有盛名的北京知名菜式，只选用优质北京肉鸭，用带有天然香气的木材烤制，鸭皮色泽透润，肉质肥而不腻，外焦里嫩，令人入口难忘，口齿留香。细分的北京烤鸭又分为挂炉烤鸭和焖炉烤鸭，如今较多的店采用挂炉烤鸭制法。,4.8,10,11.97
京酱肉丝,北京菜中的经典代表作京酱肉丝与烤鸭有异曲同工之妙，不同的是京酱肉丝的肉是猪肉，卷的饼皮是豆腐皮。,4.5,10,2.37
麻豆腐,喜欢喝豆汁儿的朋友一定不要错过的美食——麻豆腐，用布滤豆汁，留下来的豆渣就是麻豆腐的原料。由于同样是经过发酵，麻豆腐与豆汁一样具有特殊的酸香味，配上葱姜蒜及辣椒炒制，口感香醇味厚，酸咸适口，别有风味，非常下饭。,4.7,10,9.52
羊蝎子,羊蝎子是指带里脊肉和脊髓的完整羊脊椎骨，因形状酷似蝎子因此得名。羊蝎子火锅历史悠久，吃完羊肉往锅内涮菜，味道十分鲜美。,4.8,9,7.16
炸酱面,炸酱面，顾名思义，精髓在酱上。只选取优质黄酱做原料，炒制酱料的火候掌控也十分重要，太大容易糊，太小则炒制不出香味。,4.7,8.9,14
卤煮,卤煮是北京特有的一道传统小吃，传说本来是由五花肉制作，但因传入民间后人们觉得五花肉的价格太高，难以接受，便改为较为便宜的猪头肉和猪下水代替，现在卤煮较多的是用猪肠与猪肺在卤汤中煮制，还配上火烧一同食用，好吃又管饱。,4.7,8.9,17.01
爆肚,爆肚是京城名吃，名字听起来很简单，但实际上很有讲究。肚分为牛肚和羊肚，牛肚就按部位分了四种，羊肚更分了九种，按水爆、油爆、汤爆、芫爆等手法制作，爆好的爆肚吃起来鲜嫩脆爽，蘸上酱料，美味无比。,4.7,8.9,11.41
驴打滚,驴打滚是北京的一道知名小吃，主要由黄米面、黄豆面和红豆或红糖制作而成。黄米面卷着馅，再滚上黄豆面，三色的成品非常好看，口感甜香软糯，既有黄豆的香味，又有馅料的清甜，非常受欢迎。制作工序中撒上的黄豆面，犹如北京郊外野驴撒欢打滚时扬起的阵阵黄土，因此而得名“驴打滚”。,4.8,8.4,18.7
灌肠,灌肠是北京人发非常喜爱的大众街头小吃之一。用猪肥肠灌上碎肉、淀粉和其它调料一起煮熟，制作程度到灌肠不软不硬，然后油煎。,4.5,8.3,20.45
干炸丸子,说到京菜不得不提的就是这干炸丸子，虽说是干炸丸子，吃起来却有酥嫩多汁的口感，是老北京人回忆中的传统味道。,4.5,8.2,2.4
炒疙瘩,炒疙瘩是北京特色面食，用水和面制成较硬的面团，或切或揪成骰子大小的面块儿，煮炒兼用的配上各种蔬菜丁。,4.7,8.1,22.68
糖火烧,满族传统小吃，北京有名的早点之一。糖火烧的主料有面粉、红糖、桂花、芝麻油、芝麻酱等，制好的火烧要贴在炉子内壁上烤制。,4.7,8,6.43
豆汁儿,豆汁儿是老北京人非常喜爱的特色风味，也是来北京旅游必尝试的一道小吃。它是制作由水磨绿豆制品剩下的汤水经过发酵而成的。,4.5,8,23.49
乾隆白菜,大白菜在乾隆年间开始在京流行，乾隆白菜就是芝麻酱拌白菜，是一道老北京爽口小吃。,4.6,7.9,7.22
炙子烤肉,炙子烤肉即人们常说的老北京烤肉，是北京非常具有当地特色的一种烤肉。早年间炙子烤肉的烤盘是由铁条钉成的，凹凸错落。,4.4,7.9,15.39
涮羊肉,说起北京的涮羊肉，人人皆知，有名的传统美食。因食材以羊肉为主，吃法简便、配上地道老北京铜锅，使羊肉味道更加鲜美。,4.7,7.7,18.27
炒肝儿,炒肝是由宋代的“熬肝”和“炒肺”演变的一种传统小吃，以淀粉勾芡，将切好的熟肠段放入沸汤，再放入生猪肝、蒜酱、葱花、姜末等，然后撒上蒜泥，一碗热气腾腾的炒肝便出锅啦。汤汁晶莹透亮，猪肠肥滑软烂，肝嫩鲜香，醇厚味美。,4.6,7.7,5.05
面茶,是北京非常具有特色的一道小吃。面茶不是茶，而是一种面食，是用黍子面或小米面煮成粥状，再淋上一层厚厚的芝麻酱，美味咸香。,4.6,7.7,17.91
艾窝窝,艾窝窝是一道历史悠久的北京风味小吃，主料是糯米粉和面粉，可以根据个人口味包入各种各样的馅料，上锅蒸熟。,4.7,7.7,9.51
奶油炸糕,非常出名的京味小吃，有着老北京十三绝的美誉。奶油炸糕外形呈圆形，颜色金黄，质地软糯，口感外焦里嫩，奶香味十足。,4.8,7.5,20.18
豌豆黄,豌豆黄是北京春夏季节会有的时令甜品。将去皮的豌豆经过磨、煮、炒等一系列的工序，使其能聚而不散，凝成块状，然后切块摆盘。,4.7,7.5,15.83
老北京奶酪,从宫廷传出的一道奶制小吃，现在是北京街头常见的甜品。老北京奶酪是由牛奶和米酒蒸制而成，浓浓的奶香混合着淡淡的酒香。,4.6,7.5,9.86
芥末墩,要说北京地道的百姓菜，非芥末墩莫属，每到大白菜上市的时候，看着大白菜就想起了芥末墩的味道。,4.7,7.5,7.84
