name,type,rating,popularity,keywords,image
故宫博物院,历史名胜,4.8,12.0,历史|展览|建筑,/backend/gugong.jpg
北京环球度假区,主题公园,4.5,10.0,娱乐|主题公园,/backend/gugong.jpg
八达岭长城,历史名胜,4.7,10.0,历史|建筑|地标,/backend/gugong.jpg
中国国家博物馆,展馆展览,4.8,9.3,历史|展览|文化,/backend/gugong.jpg
恭王府,历史名胜,4.7,8.9,历史|建筑|文化,/backend/gugong.jpg
颐和园,历史名胜,4.7,9.0,历史|建筑|园林,/backend/gugong.jpg
天坛公园,历史名胜,4.7,8.9,历史|建筑|公园,/backend/gugong.jpg
慕田峪长城,历史名胜,4.8,8.4,历史|建筑|地标,/backend/gugong.jpg
北京动物园,主题公园,4.5,8.3,娱乐|展览|动植物,/backend/gugong.jpg
圆明园,历史名胜,4.5,8.2,历史|建筑|遗址,/backend/gugong.jpg
北京野生动物园,主题公园,4.7,8.1,娱乐|展览|动植物,/backend/gugong.jpg
雍和宫,历史名胜,4.7,8.0,历史|建筑|宗教,/backend/gugong.jpg
天安门广场,地标景观,4.5,8.6,地标|建筑|历史,/backend/gugong.jpg
中国科学技术馆,展馆展览,4.6,7.9,展览|科技|教育,/backend/gugong.jpg
奥林匹克公园,主题公园,4.4,7.9,运动|公园|地标,/backend/gugong.jpg
景山公园,主题公园,4.7,7.7,公园|历史|园林,/backend/gugong.jpg
鸟巢,地标景观,4.6,7.7,运动|建筑|地标,/backend/gugong.jpg
明十三陵,历史名胜,4.6,7.7,历史|建筑|文化,/backend/gugong.jpg
国家自然博物馆,展馆展览,4.7,7.7,展览|历史|自然,/backend/gugong.jpg
中国地质博物馆,展馆展览,4.8,7.5,展览|科技|自然,/backend/gugong.jpg
什刹海,地标景观,4.7,7.5,地标|娱乐,/backend/gugong.jpg
北京欢乐谷,主题公园,4.6,7.5,娱乐,/backend/gugong.jpg
朝阳公园,主题公园,4.7,7.5,地标,/backend/gugong.jpg
泡泡玛特城市乐园,主题公园,4.6,7.5,娱乐,/backend/gugong.jpg
古北水镇,历史名胜,4.7,7.4,历史|建筑,/backend/gugong.jpg
中国人民革命军事博物馆,展馆展览,4.8,7.5,展览,/backend/gugong.jpg
北京海洋馆,展馆展览,4.4,7.2,展览|科技,/backend/gugong.jpg
北海公园,主题公园,4.7,7.2,地标,/backend/gugong.jpg
北京天文馆,展馆展览,4.4,7.1,展览|科技,/backend/gugong.jpg
居庸关长城,历史名胜,4.8,7.0,历史|地标,/backend/gugong.jpg
香山公园,主题公园,4.7,7.0,公园|动植物,/backend/gugong.jpg
国家大剧院,展馆展览,4.7,7.0,娱乐|建筑,/backend/gugong.jpg
水立方(国家游泳中心),主题公园,4.4,7.0,娱乐|建筑,/backend/gugong.jpg
南锣鼓巷,地标景观,4.6,6.9,娱乐|地标,/backend/gugong.jpg
北京大观园,历史名胜,4.5,6.8,地标,/backend/gugong.jpg
王府井,地标景观,4.6,6.8,地标|娱乐,/backend/gugong.jpg
前门大街,地标景观,4.6,6.8,地标,/backend/gugong.jpg
毛主席纪念堂,展馆展览,4.5,6.7,历史|建筑|展览,/backend/gugong.jpg
北京汽车博物馆,展馆展览,4.7,6.7,展览|科技,/backend/gugong.jpg
天安门城楼,地标景观,4.5,8.0,地标|建筑,/backend/gugong.jpg
世界公园,主题公园,4.3,6.7,公园|娱乐,/backend/gugong.jpg
太和殿,历史名胜,4.9,6.5,历史|建筑|地标,/backend/gugong.jpg
人民大会堂,地标景观,4.6,6.5,地标|建筑,/backend/gugong.jpg
老舍茶馆,历史名胜,4.5,6.5,历史|建筑,/backend/gugong.jpg
北京杜莎夫人蜡像馆,展馆展览,4.6,6.4,展览,/backend/gugong.jpg
南山滑雪场,主题公园,4.7,6.4,娱乐|公园,/backend/gugong.jpg
孔庙和国子监博物馆,展馆展览,4.8,6.4,展览|历史,/backend/gugong.jpg
故宫珍宝馆,展馆展览,4.9,6.3,展览|历史,/backend/gugong.jpg
午门,历史名胜,4.9,6.3,地标|建筑|历史,/backend/gugong.jpg
八达岭野生动物世界,主题公园,4.0,6.3,娱乐|动植物,/backend/gugong.jpg
潭柘寺,历史名胜,4.8,6.3,历史|建筑,/backend/gugong.jpg
钟鼓楼,历史名胜,4.7,6.2,历史|建筑,/backend/gugong.jpg
鼓楼,历史名胜,4.7,6.2,历史|建筑,/backend/gugong.jpg
地坛公园,历史名胜,4.7,6.2,历史|建筑|公园,/backend/gugong.jpg
中央广播电视塔,地标景观,4.5,6.2,地标|建筑,/backend/gugong.jpg
清华大学艺术博物馆,展馆展览,4.4,6.2,展览,/backend/gugong.jpg
太平洋海底世界,主题公园,4.2,6.2,娱乐|动植物,/backend/gugong.jpg
雁栖湖,主题公园,4.4,6.2,公园|动植物|自然景观,/backend/gugong.jpg
北京奥林匹克塔,地标景观,4.6,6.1,建筑,/backend/gugong.jpg
